"time","co2","trialnum"
2062,533.8405644812667,1
2063,536.636223922476,1
2064,539.3916732723059,1
2065,542.1072674077752,1
2066,544.7834650524203,1
2067,547.443894345218,1
2068,550.1110661541595,1
2069,552.7830513832427,1
2070,555.4574777075379,1
2071,558.1316342793684,1
2072,560.7805918623899,1
2073,563.381281530749,1
2074,565.9347598512727,1
2075,568.44203626179,1
2076,570.9039065779693,1
2077,573.3295617361733,1
2078,575.7277980442963,1
2079,578.0988163149657,1
2080,580.4430785951411,1
2081,582.7608631949256,1
2082,585.057117730501,1
2083,587.336170881601,1
2084,589.596838315307,1
2085,591.838084538447,1
2086,594.059123922166,1
2087,596.2626351910828,1
2088,598.4516608906852,1
2089,600.6263979741254,1
2090,602.7873993755488,1
2091,604.9355941302576,1
2092,607.0683429525947,1
2093,609.1828094553944,1
2094,611.2792834963952,1
2095,613.357215093795,1
2096,615.4159090393434,1
2097,617.4549954149738,1
2098,619.47464629871,1
2099,621.4756995226096,1
2100,623.4593592045435,1
2101,625.4272174954287,1
2102,627.3747044048218,1
2103,629.2969497407078,1
2104,631.1942904861102,1
2105,633.0661754376183,1
2106,634.9118551103616,1
2107,636.7300367905395,1
2108,638.5201011294291,1
2109,640.2826925365289,1
2110,642.018903908333,1
2111,643.7302691576242,1
2112,645.4261601041865,1
2113,647.11522243937,1
2114,648.7969925979473,1
2115,650.4699574517253,1
2116,652.132548216377,1
2117,653.7873340748342,1
2118,655.4372067982164,1
2119,657.0818455156912,1
2120,658.721508917901,1
2121,660.3570524569891,1
2122,661.9868987461844,1
2123,663.6097004651758,1
2124,665.2259742903966,1
2125,666.8347888743249,1
2126,668.4350177860664,1
2127,670.0267836461121,1
2128,671.6105457521696,1
2129,673.186237458136,1
2130,674.7543526110251,1
2131,676.3159952990065,1
2132,677.8712967590877,1
2133,679.4202480978697,1
2134,680.9632201986637,1
2135,682.4994319954628,1
2136,684.0274777388272,1
2137,685.5472275694106,1
2138,687.0592345273897,1
2139,688.5635647442048,1
2140,690.0607227318544,1
2141,691.5513687170996,1
2142,693.0370403565282,1
2143,694.5195439095291,1
2144,695.9996700581426,1
2145,697.4774007956557,1
2146,698.95239389727,1
2147,700.4254559080227,1
2148,701.8973212191204,1
2149,703.3676252929231,1
2150,704.8361689475657,1
2151,706.302930857415,1
2152,707.7681743052283,1
2153,709.2324237561352,1
2154,710.6967049142568,1
2155,712.1622019279403,1
2156,713.6291697209692,1
2157,715.0978722271989,1
2158,716.5681488420828,1
2159,718.0386182450802,1
2160,719.5080657926455,1
2161,720.9758449783856,1
2162,722.4382865212631,1
2163,723.8924633898773,1
2164,725.3398453891325,1
2165,726.7820715098362,1
2166,728.2197090067084,1
2167,729.6553617628554,1
2168,731.091086659939,1
2169,732.5252836624998,1
2170,733.9567619098459,1
2171,735.3851536918621,1
2172,736.809621894474,1
2173,738.2297573880294,1
2174,739.6466628856758,1
2175,741.0615593129835,1
2176,742.4750891828905,1
2177,743.887634459196,1
2178,745.2988875712738,1
2179,746.7076038770908,1
2180,748.112697313027,1
2181,749.5135891768971,1
2182,750.9097411076422,1
2183,752.300855807802,1
2184,753.6871269624224,1
2185,755.068914564069,1
2186,756.4468228700669,1
2187,757.8223106200101,1
2188,759.196687405022,1
2189,760.5700273467097,1
2190,761.9420820931754,1
2191,763.3122480702482,1
2192,764.6801058187239,1
2193,766.0454248720469,1
2194,767.4078745360996,1
2195,768.7675514177197,1
2196,770.1248006694273,1
2197,771.4779446257442,1
2198,772.8257073551925,1
2199,774.1689644217462,1
2200,775.5076323046035,1
2201,776.8407918637884,1
2202,778.1665770442041,1
2203,779.4834905768905,1
2204,780.7913917468302,1
2205,782.0904079366727,1
2206,783.3806953379261,1
2207,784.6631468000073,1
2208,785.9388265121913,1
2209,787.2085090673932,1
2210,788.473182326712,1
2211,789.7336393408402,1
2212,790.9910143634784,1
2213,792.2459286111432,1
2214,793.4978486395598,1
2215,794.7462019483949,1
2216,795.9904816728599,1
2217,797.2281160228497,1
2218,798.4569651833847,1
2219,799.6775220311308,1
2220,800.890544961065,1
2221,802.0970642890156,1
2222,803.2997697772955,1
2223,804.5010516424677,1
2224,805.7009761875456,1
2225,806.8986366131548,1
2226,808.0928389639819,1
2227,809.2810888437698,1
2228,810.4613718285636,1
2229,811.6338016117163,1
2230,812.7988208050251,1
2231,813.9573153656552,1
2232,815.1103081443653,1
2233,816.2583078221733,1
2234,817.4013682360444,1
2235,818.539285388596,1
2236,819.6715569434307,1
2237,820.7986210338527,1
2238,821.9210419934996,1
2239,823.0386926166432,1
2240,824.1517927130287,1
2241,825.2608069815253,1
2242,826.3677050614833,1
2243,827.474603787753,1
2244,828.5819527507572,1
2245,829.6894342397964,1
2246,830.7962705490106,1
2247,831.9002423621969,1
2248,832.9994229836375,1
2249,834.0935963716629,1
2250,835.182700817561,1
2251,836.2667907084483,1
2252,837.3463419512173,1
2253,838.421983230556,1
2254,839.4942945976784,1
2255,840.5639955425013,1
2256,841.6315018133726,1
2257,842.6978268546081,1
2258,843.7637393356054,1
2259,844.8287085941502,1
2260,845.8921104240756,1
2261,846.9534065609812,1
2262,848.0115017185719,1
2263,849.0656683649468,1
2264,850.1162267534069,1
2265,851.163717571387,1
2266,852.2089251904831,1
2267,853.2523185681841,1
2268,854.2940212081587,1
2269,855.3337463278215,1
2270,856.37050273603,1
2271,857.4032764371416,1
2272,858.4324431926425,1
2273,859.458710447687,1
2274,860.4820714443279,1
2275,861.5029192851091,1
2276,862.5219820297827,1
2277,863.5397679664482,1
2278,864.5563095925024,1
2279,865.5713062032164,1
2280,866.5842386336574,1
2281,867.5944517222308,1
2282,868.6012448446297,1
2283,869.6042855801331,1
2284,870.6036426738488,1
2285,871.5995756551242,1
2286,872.5926556133845,1
2287,873.5841091429593,1
2288,874.5748409872585,1
2289,875.5646704707822,1
2290,876.5527848047986,1
2291,877.5381916302322,1
2292,878.5181160878878,1
2293,879.4900407488783,1
2294,880.4537692279587,1
2295,881.4094349984898,1
2296,882.3576029724613,1
2297,883.2993700710717,1
2298,884.2356597203645,1
2299,885.1666240188638,1
2300,886.0917530281315,1
1750,278.052989189439,2
1751,274.30161111292284,2
1752,274.3314824766781,2
1753,274.35772690803765,2
1754,274.3824941869936,2
1755,274.4063845936598,2
1756,274.4296489766182,2
1757,274.4524728429547,2
1758,274.47496691148405,2
1759,274.4972077927157,2
1760,274.5192987620831,2
1761,274.5413133588063,2
1762,274.5633605532167,2
1763,274.58544055792044,2
1764,274.60749788313944,2
1765,274.62962414488055,2
1766,274.6519198237886,2
1767,274.6744758591481,2
1768,274.6972681571288,2
1769,274.720250478503,2
1770,274.7434890036603,2
1771,274.76701172826495,2
1772,274.79089161413845,2
1773,274.815126868647,2
1774,274.8396551235083,2
1775,274.8644913323268,2
1776,274.8896413117465,2
1777,274.915190858692,2
1778,274.941137435478,2
1779,274.9674117824862,2
1780,274.9940411165383,2
1781,275.02104485592747,2
1782,275.0485314394871,2
1783,275.0764901835912,2
1784,275.10469666789317,2
1785,275.13285733914825,2
1786,275.1609967911829,2
1787,275.18971531062226,2
1788,275.21927428806066,2
1789,275.2495297592304,2
1790,275.28045050141463,2
1791,275.31199366047764,2
1792,275.3442403258333,2
1793,275.37717300499753,2
1794,275.41063712912046,2
1795,275.4445965105905,2
1796,275.47905524704674,2
1797,275.51407141917605,2
1798,275.5496799819181,2
1799,275.5858717693332,2
1800,275.6227029111441,2
1801,275.6602535896698,2
1802,275.69844673982607,2
1803,275.73766613553215,2
1804,275.77760262360505,2
1805,275.81798726828714,2
1806,275.8591105318772,2
1807,275.9008853697766,2
1808,275.9435064867527,2
1809,275.9867324594909,2
1810,276.03004433100233,2
1811,276.07328043163056,2
1812,276.11706165439233,2
1813,276.1620925923278,2
1814,276.20843031988767,2
1815,276.2559556154811,2
1816,276.30415470970456,2
1817,276.35233929761836,2
1818,276.40080981341555,2
1819,276.45052983354657,2
1820,276.50194692858247,2
1821,276.55494901178014,2
1822,276.6093362491026,2
1823,276.6649929275751,2
1824,276.7218885347154,2
1825,276.77989357458,2
1826,276.83903353064755,2
1827,276.89932476909513,2
1828,276.9608815897922,2
1829,277.0236714570735,2
1830,277.0873908383818,2
1831,277.15328743247653,2
1832,277.2204952215311,2
1833,277.2872667133918,2
1834,277.3547182577515,2
1835,277.4237442874202,2
1836,277.4941663373115,2
1837,277.56619817622794,2
1838,277.6399489821016,2
1839,277.71536571167445,2
1840,277.79279565139825,2
1841,277.87233136044233,2
1842,277.9538089293345,2
1843,278.0370871401361,2
1844,278.1220688403758,2
1845,278.2088136122217,2
1846,278.29792720660265,2
1847,278.38886129056726,2
1848,278.4814803137471,2
1849,278.5757362159467,2
1850,278.6714615978071,2
1851,278.76934484215,2
1852,278.8656324977067,2
1853,278.9701595319359,2
1854,279.0829764865108,2
1855,279.1932142143687,2
1856,279.3017915103876,2
1857,279.40986585062245,2
1858,279.51922302624405,2
1859,279.6286746831384,2
1860,279.7397411147048,2
1861,279.85366961748946,2
1862,279.9708049692277,2
1863,280.07645528954043,2
1864,280.170890867607,2
1865,280.2689980496295,2
1866,280.36968367552566,2
1867,280.4717216072134,2
1868,280.57483953810697,2
1869,280.67846063170526,2
1870,280.78253298682944,2
1871,280.8871920808271,2
1872,280.9969108677303,2
1873,281.1304133266272,2
1874,281.28208280834815,2
1875,281.43004875528453,2
1876,281.5771013025075,2
1877,281.7266036256333,2
1878,281.8765348268952,2
1879,282.02675013683864,2
1880,282.17927929436235,2
1881,282.33881658459575,2
1882,282.5092569003891,2
1883,282.67561662693055,2
1884,282.8350526188715,2
1885,282.99635985744186,2
1886,283.1558125130898,2
1887,283.31514029415445,2
1888,283.4764418499031,2
1889,283.64405954790243,2
1890,283.81446149338785,2
1891,283.98654058322177,2
1892,284.16253647464515,2
1893,284.34089322694444,2
1894,284.5186737201488,2
1895,284.6989927566093,2
1896,284.8875930093648,2
1897,285.0802680382491,2
1898,285.27595725870844,2
1899,285.4766310963426,2
1900,285.6858461173956,2
1901,285.9033379189851,2
1902,286.13714860825894,2
1903,286.3836011662828,2
1904,286.64029925228436,2
1905,286.910201965048,2
1906,287.1908516911097,2
1907,287.48856600483583,2
1908,287.8076323609392,2
1909,288.130570592163,2
1910,288.44753003390207,2
1911,288.7727168990241,2
1912,289.089715440095,2
1913,289.3923802496398,2
1914,289.6992418677513,2
1915,289.990557309934,2
1916,290.25806209773754,2
1917,290.536649235495,2
1918,290.83349390171196,2
1919,291.1309412276171,2
1920,291.4025151892661,2
1921,291.67977454870453,2
1922,291.96834035717654,2
1923,292.24919018424265,2
1924,292.5618844381545,2
1925,292.8957017075268,2
1926,293.22749580153265,2
1927,293.55500188016674,2
1928,293.9052195943326,2
1929,294.27766398765647,2
1930,294.6634271126459,2
1931,295.0595583227626,2
1932,295.42549525623275,2
1933,295.73148577864606,2
1934,296.01392698101824,2
1935,296.3243239064042,2
1936,296.6564667875717,2
1937,297.015727163829,2
1938,297.4010358968371,2
1939,297.7745469169266,2
1940,298.1434731003515,2
1941,298.540896402922,2
1942,298.94929372776926,2
1943,299.35549375089795,2
1944,299.76800767466966,2
1945,300.1800669769839,2
1946,300.54220339741715,2
1947,300.9059207354284,2
1948,301.34940075547104,2
1949,301.83828470017124,2
1950,302.32763044243023,2
1951,302.8417029865656,2
1952,303.45276738855193,2
1953,304.12071893794297,2
1954,304.7839870807368,2
1955,305.4593275647302,2
1956,306.18549433042875,2
1957,306.9797264219437,2
1958,307.81457093991,2
1959,308.67447932392827,2
1960,309.55279528665835,2
1961,310.4473083257269,2
1962,311.36181469083914,2
1963,312.2947242773213,2
1964,313.2614579941686,2
1965,314.26705892094583,2
1966,315.3125662784274,2
1967,316.403290812228,2
1968,317.53698547694796,2
1969,318.71194172005744,2
1970,319.93941998829126,2
1971,321.2369138726607,2
1972,322.56526405151715,2
1973,323.8989297542412,2
